=== EWALUACJA HOLD-OUT ===
Trening: 10 obrazów | Test: 35 obrazów

--- Metoda: Filtr Frangi ---
Zdjęcie         | Acc      | Sens     | Spec     | G-Mean  
---------------------------------------------------------
04_g.jpg        | 0.9238   | 0.5573   | 0.9541   | 0.7292  
04_h.jpg        | 0.8965   | 0.5271   | 0.9430   | 0.7050  
05_dr.JPG       | 0.9050   | 0.5459   | 0.9336   | 0.7139  
05_g.jpg        | 0.9202   | 0.5026   | 0.9553   | 0.6929  
05_h.jpg        | 0.9121   | 0.5401   | 0.9566   | 0.7188  
06_dr.JPG       | 0.8780   | 0.4992   | 0.9151   | 0.6759  
06_g.jpg        | 0.9141   | 0.5250   | 0.9484   | 0.7056  
06_h.jpg        | 0.9047   | 0.5755   | 0.9496   | 0.7392  
07_dr.JPG       | 0.8872   | 0.5355   | 0.9228   | 0.7029  
07_g.jpg        | 0.9140   | 0.5833   | 0.9416   | 0.7411  
07_h.jpg        | 0.9047   | 0.5462   | 0.9470   | 0.7192  
08_dr.JPG       | 0.8804   | 0.5373   | 0.9140   | 0.7008  
08_g.jpg        | 0.9062   | 0.6314   | 0.9302   | 0.7663  
08_h.jpg        | 0.8987   | 0.5437   | 0.9466   | 0.7174  
09_dr.JPG       | 0.9132   | 0.3752   | 0.9600   | 0.6002  
09_g.jpg        | 0.9163   | 0.5807   | 0.9449   | 0.7408  
09_h.jpg        | 0.9135   | 0.5504   | 0.9503   | 0.7232  
10_dr.JPG       | 0.8964   | 0.5085   | 0.9412   | 0.6918  
10_g.jpg        | 0.9095   | 0.6096   | 0.9347   | 0.7548  
10_h.jpg        | 0.9095   | 0.5468   | 0.9507   | 0.7210  
11_dr.JPG       | 0.8995   | 0.5483   | 0.9386   | 0.7174  
11_g.jpg        | 0.9142   | 0.5714   | 0.9483   | 0.7361  
11_h.jpg        | 0.9038   | 0.5635   | 0.9462   | 0.7302  
12_dr.JPG       | 0.8999   | 0.4767   | 0.9370   | 0.6683  
12_g.jpg        | 0.9050   | 0.5928   | 0.9388   | 0.7460  
12_h.jpg        | 0.8945   | 0.5706   | 0.9405   | 0.7326  
13_dr.JPG       | 0.9157   | 0.4479   | 0.9569   | 0.6547  
13_g.jpg        | 0.9128   | 0.5507   | 0.9445   | 0.7212  
13_h.jpg        | 0.8928   | 0.5528   | 0.9319   | 0.7177  
14_dr.JPG       | 0.8869   | 0.4693   | 0.9283   | 0.6600  
14_g.jpg        | 0.9137   | 0.5389   | 0.9479   | 0.7147  
14_h.jpg        | 0.8988   | 0.5683   | 0.9369   | 0.7297  
15_dr.JPG       | 0.8834   | 0.4803   | 0.9172   | 0.6637  
15_g.jpg        | 0.9071   | 0.5037   | 0.9454   | 0.6901  
15_h.jpg        | 0.9140   | 0.5633   | 0.9499   | 0.7315  

--- Metoda: Filtr Sato ---
Zdjęcie         | Acc      | Sens     | Spec     | G-Mean  
---------------------------------------------------------
